sample_id,action,year,subject,region,paper_family,track,pages,source,sha256,existing_record_ids,selection_reason,review_result,review_notes
sample-011,new_candidate,2012,化学,QH,地方卷,,5,temp/版本2：化学（按省份分类）2008-2024/2008-2024·（青海）化学高考真题/2012年高考化学试卷（大纲版）（空白卷）.pdf,7f3fb4105adb7b271a2b9c6d930cb51aceaef66b0ebd74673518c404cca15422,,stratified_sample,pending,
sample-012,new_candidate,2013,化学,SC,地方卷,,5,temp/版本2：化学（按省份分类）2008-2024/2008-2024·（四川）化学高考真题/2013年高考化学试卷（四川）（空白卷）.pdf,3b8eb55306d6db8c99f0d7c194262f211bf6c16f1796ef6f873f60c68d44891a,,stratified_sample,pending,
sample-013,new_candidate,2017,化学,HI,地方卷,,7,temp/版本2：化学（按省份分类）2008-2024/2008-2023·（海南）化学高考真题/2017年高考化学试卷（海南）（空白卷）.pdf,ae4c006ed3ca175648b63288e51ad5928e911c72b674fc6115ddfef0fee51ed3,,stratified_sample,pending,
sample-014,new_candidate,2023,化学,TJ,地方卷,,5,temp/版本2：化学（按省份分类）2008-2024/2008-2023·（天津）化学高考真题/2023年高考化学试卷（天津）（回忆版）（空白卷）.pdf,a960af645a35aa0792d52cf9122fb471d7b63889fdc93502e1cb7d57dd768fff,,high_risk_full_review,pending,
sample-015,new_candidate,2024,化学,HA,地方卷,,8,temp/版本2：化学（按省份分类）2008-2024/2008-2024·（河南）化学高考真题/2024年高考化学试卷（新课标）（空白卷）.pdf,a177a1bf7f3259dbcc92e0066233b6f4e78050d7be9a10859e15e0f71f078027,,stratified_sample,pending,
sample-016,new_candidate,2012,历史,GS,地方卷,,7,temp/版本2：历史（按省份分类）2008-2024/2008-2024·（甘肃）历史高考真题/2012年高考历史试卷（大纲版）（空白卷）.pdf,ebd33e3a8e4fdbbcdd2f29fb3c5d43a00a1b157810fdbd088acda571d551b4ce,,stratified_sample,pending,
sample-017,new_candidate,2017,历史,JS,地方卷,,9,temp/版本2：历史（按省份分类）2008-2024/2008-2024·（江苏）历史高考真题/2017年高考历史试卷（江苏）（空白卷）   .pdf,d6e5350f5da5a8c95824bf16fef0b6818198b4024c84d9e5d309bf92c01be130,,stratified_sample,pending,
sample-018,new_candidate,2021,历史,CQ,地方卷,,8,temp/版本2：历史（按省份分类）2008-2024/2012-2024·（重庆）历史高考真题/2021年高考历史试卷（重庆）（空白卷）.pdf,cc4f15bef5b8dacde3aa1a0ddc756d2b0aa78613fe72352a57e18e5d5fd66bcd,,stratified_sample,pending,
sample-019,new_candidate,2023,历史,CQ,地方卷,,6,temp/版本2：历史（按省份分类）2008-2024/2012-2024·（重庆）历史高考真题/2023年高考历史试卷（重庆）（空白卷）.pdf,2ff0b3e144f18472223e4146ad4a8df717f58ec9eea98a71333f4805ca2c4cee,,stratified_sample,pending,
sample-020,new_candidate,2008,地理,SC,地方卷,,5,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（四川）地理高考真题/2008年高考地理试卷（四川）（空白卷）.pdf,5db2a0c4edf835167ae6b32eb8fd29d20697ce22124b7f1c2becaee972c7b11e,,stratified_sample,pending,
sample-021,new_candidate,2012,地理,QH,地方卷,,6,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（青海）地理高考真题/2012年高考地理试卷（大纲卷）（空白卷）.pdf,60ae1b405cc422c29275519945f799c2600a91e60b07b2ef8b9c50794e5d5a14,,stratified_sample,pending,
sample-022,new_candidate,2015,地理,SD,地方卷,,8,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（山东）地理高考真题/2015年高考地理试卷（山东）（空白卷）.pdf,8e990889ecea670239c5b4c18ee0cc4912a65c443778407a3d1531aa2e646717,,stratified_sample,pending,
sample-023,new_candidate,2023,地理,JL,地方卷,,5,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（吉林）地理高考真题/2023年高考地理试卷（新课标）（空白卷）.pdf,02b15676cd44dd5de53518b9649095d9601a9a78b1fa0ceccca70bb01051869c,,stratified_sample,pending,
sample-024,new_candidate,2009,政治,TJ,地方卷,,5,temp/版本2：政治（按省份分类）2008-2024/2008-2023·（天津）政治高考真题/2009年高考政治试卷（天津）（空白卷）.pdf,c868bbb89e7cc8bac35f00700a7f483b146c8f4df06d2800cf7fabd3c79f47bd,,stratified_sample,pending,
sample-025,new_candidate,2018,政治,HI,地方卷,,10,temp/版本2：政治（按省份分类）2008-2024/2008-2023·（海南）政治高考真题/2018年高考政治试卷（海南）（空白卷）.pdf,f20f6b31575d4d3e1a5d5f763596e9bb114b280381f82f0477668528570b807b,,stratified_sample,pending,
sample-026,new_candidate,2021,政治,JS,地方卷,,8,temp/版本2：政治（按省份分类）2008-2024/2008-2023·（江苏）政治高考真题/2021年高考政治试卷（江苏）（空白卷）.pdf,4ebd3bc57550e19e2e8a214c416c444a6c5aa81ca007d2ba1dba247681ec5c8f,,stratified_sample,pending,
sample-027,new_candidate,2023,政治,SD,地方卷,,10,temp/版本2：政治（按省份分类）2008-2024/2008-2024·（山东）政治高考真题/2023年高考政治试卷（山东）（空白卷）.pdf,8bbe4e6885f918f9c8cf2ebdfc0969b5f5216bbc007711a9a5d608468b4f97ec,,stratified_sample,pending,
sample-028,new_candidate,2013,数学,GD,地方卷,理,4,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（广东）数学高考真题/2013年高考数学试卷（理）（广东）（空白卷）.pdf,9b8e6e125e2793df8483d12168152891d7b7d59134dc19b7fd839ca0a9b4b7c5,,stratified_sample,pending,
sample-029,new_candidate,2013,数学,HN,地方卷,理,6,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（湖南）数学高考真题/2013年高考数学试卷（理）（湖南）（空白卷）.pdf,6aca7c90f69ce8874dc1225a31a8bbe7485f2c101bed8dcc34f2fa5d8b3f586b,,stratified_sample,pending,
sample-030,new_candidate,2013,数学,HB,地方卷,文,5,temp/版本2：数学（按省份分类）2008-2024/2012-2024·（湖北）数学高考真题/2013年高考数学试卷（文）（湖北）（空白卷）.pdf,694bdbbcbe14b8aa780597d19fa49fff3cc820ae842d3cb905085894027256ce,,stratified_sample,pending,
sample-031,new_candidate,2015,数学,SD,地方卷,理,3,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（山东）数学高考真题/2015年高考数学试卷（理）（山东）（空白卷）.pdf,6f0233db17d5ca980d49e4419ec25958c1f990457db3bed7264a49e068b79fac,,stratified_sample,pending,
sample-032,new_candidate,2019,数学,TJ,地方卷,理,6,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（天津）数学高考真题/2019年高考数学试卷（理）（天津）（空白卷）.pdf,f4890c1d3fbaf982aef45fbb22d841a36d6e1d69633fc845a4890a08498e6e1a,,stratified_sample,pending,
sample-033,new_candidate,2024,数学,SH,秋考,,4,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（上海）数学高考真题/2024年高考数学试卷（上海）（秋考）（回忆版）（空白卷）.pdf,50237f25ce9b7baacff82dc4e6e9609903dbcbbc24f6fb8479335105ea0f8576,,high_risk_full_review,pending,
sample-034,new_candidate,2009,物理,TJ,地方卷,,5,temp/版本2：物理（按省份分类）2008-2024/2008-2023·（天津）物理高考真题/2009年高考物理真题（天津）（空白卷）.pdf,b4563c6d5cbb4f4e69226dc1d9efe88991a5d5e5e1b720b7c7822499cdff6949,,stratified_sample,pending,
sample-035,new_candidate,2016,物理,HI,地方卷,,8,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（海南）物理高考真题/2016年高考物理试卷（海南）（空白卷）.pdf,2e2e01a0b9f60d056a1be8124178c760bbf9f3f0b5f4e44bb4e466cd4ba30443,,stratified_sample,pending,
sample-036,new_candidate,2019,物理,ZJ,浙江11月卷,,12,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（浙江）物理高考真题/2019年高考物理试卷（浙江）（11月）（空白卷）.pdf,929ce022681b82ff8e3cb5470dc82919500ad588641c77e23fd8384b6071f651,,stratified_sample,pending,
sample-037,new_candidate,2013,生物,CQ,地方卷,,4,temp/版本2：生物（按省份分类）2008-2024/2012-2023·（重庆）生物高考真题/2013年高考生物试卷（重庆）（空白卷）.pdf,659445f25ac61673ceef7d8abd346e376172929ed4a4da056033067455eb7490,,stratified_sample,pending,
sample-038,new_candidate,2017,生物,SH,地方卷,,10,temp/版本2：生物（按省份分类）2008-2024/2008-2022·（上海）生物高考真题/2017年高考生物试卷（上海）（空白卷）.pdf,3335c8c94384678f9edb0699941fd5f1be6f729a6a76d334bf754719e58b7579,,stratified_sample,pending,
sample-039,new_candidate,2023,生物,HB,地方卷,,10,temp/版本2：生物（按省份分类）2008-2024/2008-2024·（湖北）生物高考真题/2023年高考生物试卷（湖北）（空白卷）.pdf,ca172ce1cfa4c6077da929679e3620be549dd485e83dbbf305113b569da0a68d,,stratified_sample,pending,
sample-040,new_candidate,2023,生物,HN,地方卷,,12,temp/版本2：生物（按省份分类）2008-2024/2008-2024·（湖南）生物高考真题/2023年高考生物试卷（湖南）（空白卷）.pdf,7c3095803f03f60325f8ca74250b016da527029c86a49af92acdbe83a0334271,,stratified_sample,pending,
sample-041,new_candidate,2011,英语,SC,地方卷,,9,temp/版本2：英语（按省份分类）2008-2024/2008-2024·（四川）英语高考真题/2011年高考英语试卷（四川）（空白卷）.pdf,e1928fece5acbcb2369f5e9675f524a5d07ad5c2ac82691a0f324a302f420a2f,,stratified_sample,pending,
sample-042,new_candidate,2011,英语,SD,地方卷,,14,temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山东）英语高考真题/2011年高考英语试卷（山东）（空白卷）.pdf,c31c4ddbb13e4b05c484fa927c16fabfcfc1c8141148e22220f3898d6758e5e8,,stratified_sample,pending,
sample-043,new_candidate,2015,英语,HB,地方卷,,15,temp/版本2：英语（按省份分类）2008-2024/2012-2024·（湖北）英语高考真题/2015年高考英语试卷（湖北）（空白卷）.pdf,4385b792016eca734f7f959d4e5b1cb26487ed9d51d26cbed88ab37cfd5d308e,,stratified_sample,pending,
sample-044,new_candidate,2009,语文,JS,地方卷,,10,temp/版本2：语文（按省份分类）2008-2024/2008-2024·（江苏）语文高考真题/2009年高考语文试卷（江苏）（空白卷）.pdf,d0bf5dfdf72c9c52f696cb3f030ef9c715e9d56bbe590e32ad789411b3d2b1cd,,stratified_sample,pending,
sample-045,new_candidate,2014,语文,SC,地方卷,,7,temp/版本2：语文（按省份分类）2008-2024/2008-2024·（四川）语文高考真题/2014年高考语文试卷（四川）（空白卷）.pdf,57612e7e5c1f640fb76ed008ee5a510e386daafed2c0061a9a40d5c8c82f886c,,stratified_sample,pending,
sample-046,new_candidate,2022,语文,SH,秋考,,6,temp/版本2：语文（按省份分类）2008-2024/2008-2023·（上海）语文高考真题/2022年高考语文试卷（上海）（秋考）（空白卷）.pdf,9317c863916059d16aec8553096f23855d2fa03a5fbdd4745534c9eb63410afa,,stratified_sample,pending,
sample-047,same_identity_existing,2024,化学,HN,地方卷,,11,temp/版本2：化学（按省份分类）2008-2024/2008-2024·（湖南）化学高考真题/2024年高考化学试卷（湖南）（空白卷）.pdf,04d01e2b2554513327d0083e43fbe7af78556160c7302ddda6a8a8de3ddef64d,temp-2024-化学-be37be64c2d5,stratified_sample,pending,
sample-048,same_identity_existing,2022,历史,HN,地方卷,,7,temp/版本2：历史（按省份分类）2008-2024/2008-2024·（湖南）历史高考真题/2022年高考历史试卷（湖南）（空白卷）.pdf,a5e3fde31724375627c74a49524711f2b102adf65715474ac372ace47e64020e,temp-2022-历史-c9f1e178d541,stratified_sample,pending,
sample-049,same_identity_existing,2024,历史,SH,地方卷,,5,"temp/版本2：历史（按省份分类）2008-2024/2008-2017_2019,2024·（上海）历史高考真题/2024年高考历史试卷（上海）（回忆版）（空白卷）.pdf",306e415e4065275441ff4b5915707da6a71e852dcb7db88db1f68cea011e0e1d,temp-2024-历史-83b1ad41a627,high_risk_full_review,pending,
sample-050,same_identity_existing,2022,地理,全国,全国乙卷,,6,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（内蒙古）地理高考真题/2022年高考地理试卷（全国乙卷）（空白卷）.pdf,2feb0fc888f97bdbacbe2d75a8a3bd42b9ae084e518942c333c88f0e4bae97b7,temp-2022-地理-1c2ab9a480ec,stratified_sample,pending,
sample-051,same_identity_existing,2022,数学,ZJ,地方卷,,6,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（浙江）数学高考真题/2022年高考数学试卷（浙江）（空白卷）.pdf,496dae264109e20239c23d832478317396267565e955374091bebcfe6a08d17a,deekur-2022-33-math;temp-2022-数学-09dfad0d449a,stratified_sample,pending,
sample-052,same_identity_existing,2020,物理,ZJ,浙江7月卷,,11,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（浙江）物理高考真题/2020年高考物理试卷（浙江）（7月）（空白卷）.pdf,6c694824381ecd21263a578700b8ccf3d493e6f3370731df370aed737eec891b,deekur-物理-2020-051,stratified_sample,pending,
sample-053,same_identity_existing,2022,物理,CQ,地方卷,,8,temp/版本2：物理（按省份分类）2008-2024/2012-2023·（重庆）物理高考真题/2022年高考物理试卷（重庆）（空白卷）.pdf,36f3009a86845f0bd77cdb1c2a92fe476eee8e9ec1675e81a7800dbb1468ada3,deekur-物理-2022-086,stratified_sample,pending,
sample-054,same_identity_existing,2024,物理,SH,地方卷,,6,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（上海）物理高考真题/2024年高考物理试卷（上海）（回忆版）（空白卷）.pdf,003d1997e5f42c83f7ae4be803b1f1bfc1ad398ea36850540bfe43d5643d6184,deekur-2024-physics-001,high_risk_full_review,pending,
sample-055,same_identity_existing,2024,物理,JS,地方卷,,5,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（江苏）物理高考真题/2024年高考物理试卷（江苏）（回忆版）（空白卷）缺第8题、第16题.pdf,0483945cb5565ada049f5369ee3d20b644fd0d69f41f9c189d6a000470bc33c5,deekur-2024-physics-010;temp-2024-物理-bb43733b461e,high_risk_full_review,pending,
sample-056,same_identity_existing,2022,生物,GD,地方卷,,10,temp/版本2：生物（按省份分类）2008-2024/2008-2024·（广东）生物高考真题/2022年高考生物试卷（广东）（空白卷）.pdf,66d09f167bd6be2b696c4ded2be16e1c929b743c8a7712dab6f6cacf2d1810f2,temp-2022-生物-4be644492487,stratified_sample,pending,
sample-057,same_identity_existing,2022,英语,全国,全国甲卷,,12,temp/版本2：英语（按省份分类）2008-2024/2008-2024·（云南）英语高考真题/2022年高考英语试卷（全国甲卷）（空白卷）.pdf,cb87df51b766e2393b3c065a064162df1858f929ef7c317bf6b85ad85ed8bf6c,temp-2022-英语-7c6b285312be,stratified_sample,pending,
sample-058,same_identity_existing,2023,语文,全国,全国甲卷,,10,temp/版本2：语文（按省份分类）2008-2024/2008-2024·（四川）语文高考真题/2023年高考语文试卷（全国甲卷）（空白卷）.pdf,44dcf56f055cd4584ef02547f1e2783be08030d7cb3b9e051e2c31386bf9ad12,temp-2023-语文-b310c9068370,stratified_sample,pending,
sample-059,temp_identity_duplicate,2015,化学,全国,全国2卷,,9,temp/版本2：化学（按省份分类）2008-2024/2008-2023·（广西）化学高考真题/2015年高考化学试卷（新课标Ⅱ）（空白卷）.pdf,392f5e110d0ba20864f9221d6be35fd858448eb5f330dc270b5a8541610b2ab9,,stratified_sample,pending,
sample-060,temp_identity_duplicate,2020,历史,全国,全国2卷,,8,temp/版本2：历史（按省份分类）2008-2024/2008-2024·（内蒙古）历史高考真题/2020年高考历史试卷（新课标Ⅱ）（空白卷）.pdf,1af11fab4ba275d090588acea2cb20ab8cb6995bca28731902f48f97a7baa1fe,,stratified_sample,pending,
sample-061,temp_identity_duplicate,2012,地理,ZJ,地方卷,,6,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（浙江）地理高考真题/2012年高考地理试卷（浙江）（空白卷）.pdf,5179b688634b567bc3d6d139d17afe209e2735619bf799de87a35e60e628a071,,stratified_sample,pending,
sample-062,temp_identity_duplicate,2018,政治,全国,全国3卷,,8,temp/版本2：政治（按省份分类）2008-2024/2008-2023·（四川）政治高考真题/2018年高考政治试卷（新课标Ⅲ）（空白卷）.pdf,a60fa450349600fe1e87493500cd7a919ddb2e407035bcf545c9f08aac338331,,stratified_sample,pending,
sample-063,temp_identity_duplicate,2011,数学,全国,新课标卷（未分卷）,文,6,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（云南）数学高考真题/2011年高考数学试卷（文）（新课标）（空白卷）.pdf,e5dc98c342165872a7b1d1f6eb19f82d77f4968d1be2faefe8f6f2a4e513aa49,,stratified_sample,pending,
sample-064,temp_identity_duplicate,2019,数学,全国,全国1卷,理,7,temp/版本2：数学（按省份分类）2008-2024/2008-2024·（山东）数学高考真题/2019年高考数学试卷（理）（新课标Ⅰ）（空白卷）.pdf,05aa0c6ce77c631ecfa8c8dc910baa737e56e09f8f56f338b7da5b10453c7c98,,stratified_sample,pending,
sample-065,temp_identity_duplicate,2010,物理,全国,全国1卷,,8,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（吉林）物理高考真题/2010年高考物理试卷（新课标Ⅰ）（空白卷）.pdf,acd404ac32045134e9b9b951c710d18a74aaa70dd824864820c7b44cb2181050,,stratified_sample,pending,
sample-066,temp_identity_duplicate,2015,生物,全国,全国2卷,,5,temp/版本2：生物（按省份分类）2008-2024/2008-2023·（广西）生物高考真题/2015年高考生物试卷（新课标Ⅱ）（空白卷）.pdf,1be456abeba199a7f0020580a9ca2f897b1b77243e81fdf9670fc06d1231bc0a,,stratified_sample,pending,
sample-067,temp_identity_duplicate,2010,英语,全国,全国1卷,,14,temp/版本2：英语（按省份分类）2008-2024/2008-2024·（山西）英语高考真题/2010年高考英语试卷（新课标Ⅰ卷）（空白卷）.pdf,f111ac5bbf6728a088dd56b2d96cf5b8e4824d34e2b704dc133cac1c2605edae,,stratified_sample,pending,
sample-068,temp_identity_duplicate,2009,语文,全国,全国2卷,,10,temp/版本2：语文（按省份分类）2008-2024/2008-2024·（云南）语文高考真题/2009年高考语文试卷（全国Ⅱ卷）（空白卷）.pdf,a291867c5289d983d38b96571593a6e30ae4e144986e2d8a1efce0f654b5a38e,,stratified_sample,pending,
